gene,correlation,pvalue,abs_correlation
RBM47,0.43573389672756235,0.0,0.43573389672756235
GNS,0.43545248844185386,0.0,0.43545248844185386
CYSTM1,0.4353925391559841,0.0,0.4353925391559841
MNDA,0.4352738765797919,0.0,0.4352738765797919
CSTB,0.4348353894332,0.0,0.4348353894332
CD247,-0.43470382018567283,0.0,0.43470382018567283
LTB,-0.43451209525766393,0.0,0.43451209525766393
LAPTM5,0.4339791456394637,0.0,0.4339791456394637
BID,0.4338517548121867,0.0,0.4338517548121867
G0S2,0.43369221673927016,0.0,0.43369221673927016
SLC7A7,0.4336767043329374,0.0,0.4336767043329374
TPI1,0.4334827951413732,0.0,0.4334827951413732
AQP9,0.4333572808753565,0.0,0.4333572808753565
TRBC2,-0.4332745156709152,0.0,0.4332745156709152
MSN,0.43216670321360723,0.0,0.43216670321360723
CCR7,-0.4310518786716526,0.0,0.4310518786716526
MFSD1,0.4310441753814403,0.0,0.4310441753814403
SNHG8,-0.430901439209896,0.0,0.430901439209896
MARCO,0.4304197132485876,0.0,0.4304197132485876
UBE2D1,0.43017332590061896,0.0,0.43017332590061896
PPP1R18,0.43008996690353596,0.0,0.43008996690353596
CFD,0.4290706984451351,0.0,0.4290706984451351
CD3G,-0.4287925228677496,0.0,0.4287925228677496
AC020656.1,0.4279199875450822,0.0,0.4279199875450822
SIGLEC10,0.4272167989010729,0.0,0.4272167989010729
S100A4,0.42717329740724586,0.0,0.42717329740724586
FAU,-0.42711643846444514,0.0,0.42711643846444514
H2AFY,0.42691042845214067,0.0,0.42691042845214067
CD2,-0.42660258135239,0.0,0.42660258135239
ATP6V0D1,0.4258906006889922,0.0,0.4258906006889922
TXN,0.4257197072390198,0.0,0.4257197072390198
ELOB,0.4249813662658874,0.0,0.4249813662658874
HNRNPA1,-0.4248646331991782,0.0,0.4248646331991782
SCPEP1,0.42469925042502826,0.0,0.42469925042502826
BLVRB,0.4238560298465877,0.0,0.4238560298465877
RAB13,0.42353730486146074,0.0,0.42353730486146074
IFNGR2,0.4226517036367963,0.0,0.4226517036367963
ATP6V0E1,0.42260862702331886,0.0,0.42260862702331886
HSP90AB1,-0.42246726082586183,0.0,0.42246726082586183
JDP2,0.4223150046926231,0.0,0.4223150046926231
SPOCK2,-0.42141617968055906,0.0,0.42141617968055906
ATP6V1F,0.421234445569348,0.0,0.421234445569348
NCF2,0.4211112561495395,0.0,0.4211112561495395
CCDC88A,0.4209591561270925,0.0,0.4209591561270925
C4orf48,0.41913994737002064,0.0,0.41913994737002064
H2AFJ,0.41911814765260597,0.0,0.41911814765260597
GRB2,0.41872797028314296,0.0,0.41872797028314296
CARD19,0.4184053784451982,0.0,0.4184053784451982
TCF7,-0.41810331142657914,0.0,0.41810331142657914
ARPC4,0.41797385801885084,0.0,0.41797385801885084
MS4A7,0.41786539128745154,0.0,0.41786539128745154
ITGB2,0.41771365142048844,0.0,0.41771365142048844
IL1R2,0.4175785033289079,0.0,0.4175785033289079
ADGRE2,0.4173493787347849,0.0,0.4173493787347849
NOP10,0.4173048260121599,0.0,0.4173048260121599
MIDN,0.41708821835750864,0.0,0.41708821835750864
PTPN12,0.41629161963913,0.0,0.41629161963913
SERPINB1,0.4162133307592032,0.0,0.4162133307592032
LILRA2,0.41583172208637115,0.0,0.41583172208637115
CAPZA2,0.4147723433132633,0.0,0.4147723433132633
CREG1,0.41451749410334054,0.0,0.41451749410334054
GNA15,0.41444168299930323,0.0,0.41444168299930323
EMP3,0.41342974471468696,0.0,0.41342974471468696
COX8A,0.4116005718002006,0.0,0.4116005718002006
MPEG1,0.4108368692822663,0.0,0.4108368692822663
CSF3R,0.4106680986035093,0.0,0.4106680986035093
LIMS1,0.41042187936587415,0.0,0.41042187936587415
GCA,0.4099545154419834,0.0,0.4099545154419834
COX6B1,0.409915779335158,0.0,0.409915779335158
LEF1,-0.40968781988579767,0.0,0.40968781988579767
RPL35,-0.40940187820761526,0.0,0.40940187820761526
TRIB1,0.4090082070457452,0.0,0.4090082070457452
NRGN,0.40885391056421866,0.0,0.40885391056421866
C19orf38,0.4086177826384244,0.0,0.4086177826384244
SLC6A6,0.40742182832695795,0.0,0.40742182832695795
HCK,0.4072056751819227,0.0,0.4072056751819227
KCTD12,0.40713468845991707,0.0,0.40713468845991707
CIRBP,-0.40692647172288426,0.0,0.40692647172288426
PYGL,0.40683702395965965,0.0,0.40683702395965965
TLE3,0.4067366148491131,0.0,0.4067366148491131
CXCL16,0.4062128870141324,0.0,0.4062128870141324
RPL36A,-0.4059276940206893,0.0,0.4059276940206893
IFITM2,0.40520215095544193,0.0,0.40520215095544193
GSTP1,0.40471052472701463,0.0,0.40471052472701463
MIR22HG,0.40384419738656097,0.0,0.40384419738656097
CAPZB,0.40365204641430935,0.0,0.40365204641430935
EMILIN2,0.40347895336897227,0.0,0.40347895336897227
LRP1,0.40320335698069176,0.0,0.40320335698069176
MARCH2,0.40273541317900097,0.0,0.40273541317900097
VSIR,0.4018219576798203,0.0,0.4018219576798203
SMIM3,0.4008732306735201,0.0,0.4008732306735201
UCP2,0.4005883496964785,0.0,0.4005883496964785
RPL23,-0.40044745404265986,0.0,0.40044745404265986
HBEGF,0.3997056039717006,0.0,0.3997056039717006
TTYH3,0.3992655041249958,0.0,0.3992655041249958
MAPKAPK3,0.3992017100708373,0.0,0.3992017100708373
RORA,-0.39899739609744345,0.0,0.39899739609744345
ARHGDIB,0.39849166263503466,0.0,0.39849166263503466
SIRPA,0.3984165091369417,0.0,0.3984165091369417
TLR2,0.3982097931268126,0.0,0.3982097931268126
PSMB3,0.3981651208947844,0.0,0.3981651208947844
BRK1,0.3981149523196512,0.0,0.3981149523196512
DDX5,-0.3969890535123661,0.0,0.3969890535123661
CMTM6,0.3969848242617739,0.0,0.3969848242617739
PGK1,0.3966688524120108,0.0,0.3966688524120108
RRAS,0.39666567938254943,0.0,0.39666567938254943
HOTAIRM1,0.3962441045562197,0.0,0.3962441045562197
CPVL,0.39610217497691713,0.0,0.39610217497691713
HRH2,0.3959608074013051,0.0,0.3959608074013051
CDKN2D,0.3959015522282155,0.0,0.3959015522282155
PTTG1IP,0.39559832988626037,0.0,0.39559832988626037
